country	city	session	playerNr	age	gender	siblings	religious	riskTaking	IOS	knownParticipants	FGFtype	SWbenevolence	SWuniversalism	SWselfdirect	SWstimulation	SWhedonism	SWachievement	SWpower	SWsecurity	SWconformity	SWtradition	BCreq	BCpayInfo	BCfracA	BCpayoff	SDreq	SDpayInfo	SDfracA	SDpayoff	COreq	COpayInfo	COfracA	COpayoff
China	Ningbo	1	1	22	2	0	1	3	5	1	DD	5	5	6	5.666666667	5.333333333	6.25	5.666666667	5	5	3.75	0.8125	0.611111111	0.4	306	0.6875	0.517241379	0.2	164	1	0	0.3	895
China	Ningbo	1	2	21	2	1	1	3	6	2	CD	5.75	5	5	4.333333333	4	6	5.333333333	4.8	6	3	0.8125	1	0.85	433	0.5625	0.8	0.15	338	0.3125	0.25	0.3	931
China	Ningbo	1	3	18	2	0	1	3	5	0	CC	6.5	5.666666667	7	6.666666667	7	6.5	4.333333333	5	5.5	2.75	0.25	1	0.55	279	0.1875	1	0.6	209	0.25	1	0.35	914
China	Ningbo	1	4	23	1	1	1	2	5	0	CC	6.25	6.166666667	6.5	6	6.333333333	5.5	3.333333333	6.2	4.25	3	0.4375	1	0.6	417	0.3125	1	0.3	235	0.375	1	0.15	1011
China	Ningbo	1	5	22	2	1	1	4	3	0	DD	5.5	6.166666667	5	6	5.666666667	6	4.333333333	6	5.25	4	0.25	0.142857143	0.35	161	0.375	0.2	0.55	298	0.4375	0	0.25	571
China	Ningbo	1	6	22	2	0	1	6	3	2	DD	5.75	6	4	4.333333333	6.333333333	5	3	5.8	6.25	3.25	0.1875	1	0.75	557	0.375	0	0.4	390	0.5	0	0.3	991
China	Ningbo	1	7	21	2	0	1	3	4	0	CD	4.25	5.333333333	5.5	6.333333333	6.666666667	6	2.333333333	2.2	4	2.75	0.875	1	0.5	282	0.25	0.333333333	0.15	138	0.3125	0	0.15	1153
China	Ningbo	1	8	21	1	0	1	5	6	0	DD	4.25	4.333333333	4	4	4	4.5	4	4.2	4.5	4.25	0.25	1	0.7	416	0.1875	1	0.15	347	0.8125	0	0.4	917
China	Ningbo	1	9	22	2	1	2	2	3	0	CD	6.75	6.5	7	6.666666667	7	6	5.333333333	6	5.25	5.5	0.3125	1	0.4	308	0.1875	1	0.5	107	0.375	0.2	0.25	1010
China	Ningbo	1	10	23	2	1	1	4	4	1	CC	5	4.833333333	4.75	4	5.666666667	3.75	4	4.2	5.5	3.5	0.5	1	0.65	407	0.4375	1	0.15	215	0.5	1	0.35	978
China	Ningbo	1	11	22	2	0	1	6	5	1	CD	6.25	6.833333333	6	6	6.333333333	6.5	4.333333333	6.8	6.25	4	0.5625	0.5	0.9	425	0.875	0.302325581	0.15	208	0.1875	1	0.25	1231
China	Ningbo	1	12	22	2	1	1	6	6	4	CC	6.75	6.5	5	5.666666667	5.333333333	4.75	3.333333333	6.8	5.75	4.5	1	0.828571429	0.45	266	1	0.641025641	0.2	423	1	0.254901961	0.35	864
China	Ningbo	1	13	23	2	0	1	3	5	5	CC	5.75	6.5	5.5	4.666666667	5	4.75	4	5.8	5.25	3.25	0.25	0.428571429	0.45	260	0.25	0.333333333	0.35	139	0.1875	0.333333333	0.1	1032
China	Ningbo	1	14	20	1	0	1	5	7	2	CD	4	6.333333333	2.25	2	3.333333333	4.25	3.333333333	5.2	6.75	5	0.6875	0.952380952	0.55	362	0.8125	0.444444444	0.45	192	0.25	0	0.4	679
China	Ningbo	1	15	22	2	0	1	6	4	4	CC	7	7	7	7	7	6.75	5.666666667	7	7	5.5	0.4375	1	0.4	265	1	0.351351351	0.25	324	1	0.777777778	0.15	925
China	Ningbo	1	16	21	2	0	1	5	3	2	CD	4	6.833333333	3.75	5	7	2	2.333333333	6	5.75	5	0.1875	1	0.5	139	0	NA	0.1	379	0.125	0.333333333	0.4	940
China	Ningbo	1	17	21	2	0	1	4	4	4	DD	5.75	6	4.75	4.666666667	4	4	3	5.2	5	4	0.375	1	0.65	365	0.375	1	0.7	94	0.625	1	0.25	876
China	Ningbo	1	18	24	1	2	1	3	6	1	CD	5.25	6.5	6.5	5	4.333333333	6.25	6	6.4	6.25	5.25	0.875	0.6	0.7	424	1	0.084745763	0.2	301	0.9375	0.254901961	0.2	1158
China	Ningbo	1	19	22	2	1	1	4	5	4	CD	5.5	6.833333333	5.75	4.666666667	5.333333333	6.25	5	5.2	6.25	3.5	0.4375	0.875	0.6	514	0.6875	0.956521739	0.35	176	0.6875	1	0.1	821
China	Ningbo	1	20	21	2	0	1	7	6	2	CD	5	5.166666667	6	5	5.333333333	6.75	6.333333333	6	5	4	0.4375	0.866666667	0.65	455	0.625	0.692307692	0	231	0.375	0.411764706	0.25	1159
China	Ningbo	3	1	21	2	0	1	2	6	0	CC	7	6	7	7	6.666666667	7	6.333333333	7	6.5	6	0.3125	1	0.9	589	0.4375	0.217391304	0.3	208	0.25	0.428571429	0.25	1072
China	Ningbo	3	2	21	2	0	1	5	4	4	CD	5	5.666666667	5.25	2	2.666666667	5.75	4.666666667	5.4	6.5	2.75	0	NA	0.55	597	0	NA	0.6	255	0.3125	0	0.7	569
China	Ningbo	3	3	19	2	0	1	4	5	4	CC	6.5	6.5	5.75	4.333333333	5	4.25	1.666666667	6.4	6.5	5.25	0.25	1	0.65	441	0.25	1	0.6	441	0.375	0	0.45	822
China	Ningbo	3	4	18	2	1	1	4	5	3	DC	5.75	4.666666667	4.5	4	6.666666667	4.25	4.333333333	5.8	5.25	4.25	0.5	0.8	0.85	638	0.625	1	0.7	328	0.1875	0.714285714	0.2	912
China	Ningbo	3	5	19	2	0	1	4	6	4	CC	6.25	6.833333333	7	6.333333333	7	4.75	2.666666667	6	6.5	3.5	0.3125	0.833333333	0.65	396	0.3125	1	0.45	95	0.1875	0.090909091	0.6	433
China	Ningbo	3	6	18	1	0	1	5	4	2	CC	5.5	5.666666667	6	5.666666667	5.333333333	5.25	4.666666667	5.6	5	5	0.5625	1	0.75	352	0.375	1	0.7	199	0.5625	0.24137931	0.15	744
China	Ningbo	3	7	18	2	0	1	7	4	1	DD	4.75	5	5.25	3	1.333333333	6.5	3.333333333	6.4	6.25	3	1	1	0.8	442	1	0.357142857	0.2	365	0.6875	0.466666667	0.25	947
China	Ningbo	3	8	18	2	0	1	4	5	2	CD	5.75	7	5.25	4.666666667	6	6.5	4.333333333	5.4	6.75	4	0.3125	0.052631579	0.7	531	0.1875	0	0.4	389	0.0625	0	0.2	914
China	Ningbo	3	9	21	2	0	1	5	3	2	CC	6	6.5	5.25	4	5	6.5	3.666666667	7	6.5	5.5	0.875	1	0.4	395	1	0.333333333	0.5	355	1	0.28	0.25	1020
China	Ningbo	3	10	18	2	0	1	4	2	1	CC	5	5	5	5	5.333333333	5	4.333333333	4.8	5.25	3.75	0.125	1	0.7	505	0.125	1	0.35	278	0.375	0	0.25	1113
China	Ningbo	3	11	22	2	1	1	1	5	1	DD	6.5	7	7	7	7	6.75	5.666666667	6.2	6.25	4	0.6875	1	0.75	285	0.8125	0.368421053	0.45	103	0.75	0.263157895	0.3	759
China	Ningbo	3	12	21	1	0	1	5	3	0	DD	6	4.833333333	6.75	5.666666667	5.666666667	6.75	5.333333333	3.2	4	2.25	0.8125	0.733333333	0.7	346	0.9375	0.090909091	0.4	145	0.5	0.142857143	0.15	952
China	Ningbo	3	13	21	2	0	1	6	6	1	CD	5.75	6.333333333	5.25	4.666666667	4	4.25	2.666666667	5.6	6.5	3.5	0.9375	0.764705882	0.75	448	1	0.684210526	0.25	449	0.75	0.846153846	0.35	707
China	Ningbo	3	14	18	2	0	1	3	5	3	DC	4	4.5	5	5.666666667	5.666666667	5	4.333333333	5.2	5.75	2.25	0.5	1	0.55	453	0.4375	1	0.4	338	0.1875	1	0.25	912
China	Ningbo	3	15	23	2	0	1	4	2	0	CC	6.5	5.833333333	4.5	5.333333333	6.666666667	4.75	3.333333333	2.6	5.25	4.25	0.5625	1	0.6	454	0	NA	0.15	284	0.5625	0	0.5	955
China	Ningbo	3	16	19	2	0	1	5	5	0	CD	5	6.333333333	6.25	5.333333333	6	6.25	3	6.8	6.5	4	0.6875	1	0.7	308	0.125	1	0.55	374	0.625	1	0.55	798
China	Ningbo	3	17	21	2	0	1	6	2	0	CD	5	4.5	7	6.666666667	6.666666667	4.5	5.333333333	2.6	3.75	1.75	0.75	0.2	0.4	99	0.5625	0	0.6	368	0.5	0.3125	0.2	1018
China	Ningbo	3	18	20	2	1	1	4	2	0	CD	6.25	5.833333333	5.5	6	6.333333333	7	5.333333333	5.2	6	3.5	0.75	0.021276596	0.65	256	0.75	0.130434783	0.7	418	0.4375	0.571428571	0.25	1056
China	Ningbo	3	19	18	2	0	1	6	5	0	CD	5.5	6	6	4.333333333	6.333333333	5.75	3.333333333	5.8	5.75	4.75	0.3125	1	0.6	255	0.5	1	0.3	294	0.125	1	0.25	930
China	Ningbo	3	20	20	2	0	1	6	4	1	CD	4	5	5.75	5.666666667	5.666666667	5.75	6	4.2	6.25	3.25	0.5625	1	0.75	429	0.5	1	0.2	511	0.3125	1	0.3	739
China	Ningbo	3	21	23	1	NA	1	3	5	0	DD	4.5	4.666666667	4.5	5	5	5.25	4.666666667	5	5	3.75	0.875	1	0.65	301	0.9375	1	0.35	518	0.5625	0.24137931	0.25	789
China	Ningbo	3	22	20	2	0	1	5	4	2	CC	5.75	6.166666667	5.75	3.666666667	6.333333333	6.5	4	5.8	6	4.5	0.625	1	0.75	540	0.375	1	0.35	453	0.375	0.263157895	0.45	669
China	Ningbo	3	23	19	2	0	1	3	2	2	CD	5.5	6.166666667	5.25	4	6	4.75	2.666666667	5.8	5.5	4.75	0.1875	0.5	0.6	483	0.4375	0.473684211	0.05	360	0.625	0.290322581	0.55	503
China	Ningbo	3	24	20	2	0	1	3	6	2	DD	4.5	5.333333333	3.75	5.333333333	5	6	6	6	5.25	3.5	0.875	0.631578947	0.65	534	0.625	0.516129032	0.5	388	0.3125	0.428571429	0.3	656
China	Ningbo	3	25	19	2	0	1	6	4	0	CC	5.25	5.5	6	3	5.333333333	5.25	6	4.8	5.25	3.25	0.0625	1	0.75	422	0	NA	0.15	428	0.0625	0	0.2	1104
China	Ningbo	3	26	20	2	0	1	6	6	3	DD	4.5	4.833333333	5.75	3.666666667	4.666666667	4.25	4.333333333	5.4	4.5	3.25	0.625	1	0.85	264	1	1	0.55	289	0.625	1	0.35	722
China	Ningbo	3	27	20	2	0	1	5	3	2	CD	5.75	6	5.75	5	6.333333333	5.25	3.666666667	5.8	5.75	4.25	0.0625	1	0.6	417	0.0625	1	0.9	159	0.0625	1	0.35	1062
China	Ningbo	3	28	20	2	0	1	6	3	2	CD	4.75	5.166666667	5.5	3.666666667	5.333333333	5	4.666666667	6.2	5.5	3.5	0.4375	1	0.95	624	0.5625	0.125	0.15	259	0.5625	0.384615385	0.45	776
China	Ningbo	3	29	18	1	6	1	5	6	2	CC	5.25	5.5	5.5	5.333333333	5.333333333	6.75	6	6.6	6.75	2.75	0.5625	0.5	0.85	555	0.4375	0.166666667	0.4	304	0.75	0.534883721	0.7	515
China	Ningbo	3	30	18	1	0	1	1	5	0	CD	5.5	6.333333333	6.5	5.666666667	6.666666667	7	6.666666667	6.6	6	4.25	0.625	1	0.8	531	0.625	1	0.5	200	0.375	1	0.3	1074
China	Ningbo	4	1	20	2	0	2	4	3	1	CC	5.5	4	4.5	5.333333333	5.333333333	6	5	4.4	5	4.25	0.25	1	0.65	426	0.4375	1	0.25	507	0.25	1	0.05	1198
China	Ningbo	4	2	21	2	0	1	5	6	2	CD	6	5.5	6	3	4	4.5	4.333333333	6	6.75	6	0.6875	1	0.8	387	0.5625	0.058823529	0.2	436	0.5	0	0.25	846
China	Ningbo	4	3	20	2	0	1	5	4	1	CD	6	6.666666667	6.25	4.666666667	6	6.5	5.666666667	6.8	6.75	5.25	0.5625	1	0.6	282	0.75	0.548387097	0.55	121	0.625	0.142857143	0.25	1030
China	Ningbo	4	4	18	2	0	1	3	6	2	CC	6.75	7	5.25	5	6	4.5	3.333333333	6.2	7	5.5	0.5	0.103448276	0.65	552	0.9375	0.25	0.7	450	0.25	0.230769231	0.1	1071
China	Ningbo	4	5	22	1	1	1	2	5	1	CD	6	6.5	6.25	6.333333333	6	6.5	6	5.6	6.5	4.75	0	NA	0.5	341	0.0625	0	0.5	346	0.0625	0	0.1	1176
China	Ningbo	4	6	21	2	0	1	5	5	2	CD	3.75	5	5	4	3	6.5	6.333333333	6.4	6.5	4	0.625	0.590909091	0.5	343	0.625	0.052631579	0.15	468	0.375	0	0	1217
China	Ningbo	4	7	18	2	0	2	4	4	1	CD	5.25	4.333333333	5.25	3.666666667	5.333333333	5	4	5.8	5.5	4.75	0.3125	1	0.55	364	0.5	0.6	0.55	207	0.25	0.214285714	0.1	1095
China	Ningbo	4	8	20	2	1	1	5	3	0	CC	5.75	5.833333333	6	6.666666667	6.666666667	4.25	5	5.2	5	5.25	0	NA	0.55	357	0.3125	0	0.55	242	0.3125	0.111111111	0.25	1144
China	Ningbo	4	9	21	1	0	1	3	5	0	CD	5.75	5.166666667	6.25	6.333333333	6.333333333	6	5	5.4	5.25	5	0.8125	1	0.6	360	0.9375	0.071428571	0.3	318	0.5625	0.125	0.3	965
China	Ningbo	4	10	18	2	0	1	2	2	0	CC	6	4.833333333	7	7	7	4.5	4.666666667	4.2	3	4.5	0.25	1	0.7	269	1	0	0.45	425	0.5625	0	0	1318
China	Ningbo	4	11	19	2	2	1	7	6	2	CC	7	6.666666667	4.75	4.333333333	6.333333333	4.25	1	4.2	5.5	4.75	0.8125	1	0.5	293	0.875	1	0.25	263	1	1	0.25	1084
China	Ningbo	4	12	21	2	0	1	6	6	3	CD	5.25	5.5	5.75	4.666666667	5.666666667	4.5	2.666666667	5.6	6.25	4.5	0	NA	0.65	389	0.5	0.333333333	0.6	397	0.4375	0	0.05	883
China	Ningbo	4	13	19	2	0	1	6	6	2	CD	5.5	7	6.75	6.333333333	7	7	4.666666667	6.4	5.75	5	1	0.391304348	0.6	406	1	0.163636364	0.2	212	0.75	0.11627907	0.15	1122
China	Ningbo	4	14	20	2	0	1	6	5	0	CD	6	6.333333333	6.75	5.666666667	6.333333333	6	4	5.6	6.5	5	0.75	1	0.65	554	0.5	0.28	0.35	338	0.3125	0.333333333	0.05	1125
China	Ningbo	4	15	18	2	0	1	5	5	0	CD	5	4	4.5	3.333333333	5.333333333	4.25	2	4.6	4.75	3	0.8125	0.793103448	0.5	293	0.5625	1	0.6	146	0.1875	0.2	0	1317
China	Ningbo	4	16	19	2	0	1	3	2	0	DD	5	6.333333333	6.75	6.333333333	6.333333333	6	6	4.4	4.5	3	1	1	0.85	473	0.0625	0	0.05	556	0.3125	1	0.05	1213
China	Ningbo	4	17	20	2	0	1	5	3	1	CC	4	4.666666667	5.5	4.333333333	5.333333333	5	3.666666667	4.6	5.75	2.75	0.625	0.769230769	0.75	366	0.9375	0.176470588	0.4	260	0.5	0.206896552	0.2	905
China	Ningbo	4	18	18	1	0	1	6	7	0	CC	6	6	4.5	3.333333333	1.666666667	5.75	3.666666667	4	6.75	4.25	1	0.857142857	0.6	310	1	0	0.1	626	0.9375	0.071428571	0.2	1049
China	Ningbo	4	19	22	2	0	1	2	1	0	CC	6.25	6	6.25	5.666666667	6.333333333	5.75	4.333333333	4.4	4.25	2.75	0	NA	0.5	217	0	NA	0.15	394	0	NA	0.05	1118
China	Ningbo	4	20	21	2	0	1	3	5	1	DD	5.75	6.166666667	4.5	3.666666667	5	4.25	4.666666667	5.2	6.5	4.25	0.5	1	0.65	446	0.375	1	0.1	426	0.3125	0.428571429	0.2	926
China	Ningbo	4	21	21	2	3	1	2	6	0	DD	6.5	6.333333333	6.75	7	7	7	3	4.8	5.25	2	0.4375	1	0.3	248	0.625	1	0.8	346	0.3125	1	0.4	703
China	Ningbo	4	22	21	1	0	1	5	4	2	CD	4.5	5.166666667	6.25	4.333333333	4.666666667	6	6	6.4	5.25	5.25	1	1	0.65	410	1	1	0.2	206	1	1	0.1	968
China	Ningbo	4	23	20	2	0	2	5	4	1	DD	4	4.166666667	4.5	3	3.666666667	4.5	3.666666667	4.8	4.5	3	0.1875	1	0.7	517	0.1875	1	0.25	173	0.25	1	0.15	1124
China	Ningbo	4	24	21	2	2	2	4	4	4	CD	5.5	6.5	6.25	6.333333333	6.333333333	6	6.666666667	5	6.5	5.25	1	1	0.65	449	0.4375	1	0.6	266	0.375	1	0.05	1221
China	Ningbo	4	25	19	2	0	1	3	6	2	CD	4.75	5.333333333	6	5.666666667	6	6.5	5	4.6	6	3.5	1	0.20754717	0.65	267	1	0.015873016	0.4	194	0.5	0.103448276	0.15	1108
China	Ningbo	4	26	19	2	0	1	4	3	1	DD	4.5	5.333333333	6	5	6	6.75	6.333333333	6	6.25	3.25	0.375	1	0.6	574	0.25	1	0.4	488	0.375	1	0.05	1249
China	Ningbo	4	27	20	2	1	1	6	4	2	CD	5	5.833333333	4.5	5.333333333	5.333333333	4.75	4	6	7	4.5	0.75	1	0.7	465	0.625	0	0.85	209	0.8125	0.06122449	0.2	883
China	Ningbo	4	28	21	2	1	1	3	5	1	CC	6.75	7	6.5	6	6.333333333	6.75	6.333333333	6.2	7	6.25	0.875	1	0.65	478	0.875	0.166666667	0.85	382	0.625	0.081081081	0.25	1134
China	Ningbo	4	29	19	2	0	1	4	6	3	CD	5.25	6.166666667	6.5	5.333333333	4.333333333	4.75	3.666666667	6	6.75	5.75	0.9375	0.245283019	0.7	699	0.6875	0.375	0.45	358	0.8125	0.7	0.15	1122
China	Ningbo	4	30	21	2	0	1	1	4	1	CC	5.75	6	5.5	6	4.333333333	6.5	5.666666667	5.4	6.25	3.5	0.25	1	0.6	337	0.375	0	0.8	-58	0.3125	0	0.35	723
